id_pedido,data,nome_cliente,email_cliente,valor,cidade
PD-00001,2025-04-10,Bruno Jardim,bruno.jardim15@exemplo.test,270.68,Campinas
PD-00002,2026-07-08,Mariana Queiroz,mariana.queiroz96@exemplo.test,459.75,Jundiaí
PD-00003,2026-02-22,Elisa Pacheco,elisa.pacheco63@exemplo.test,316.04,Jundiaí
PD-00004,2026-01-07,Lucas Gomes,lucas.gomes31@exemplo.test,131.87,Osasco
PD-00005,2025-10-10,Samuel Moura,nao-informado@aurora.invalid,224.15,Santos
PD-00006,2025-01-22,Carla Gomes,carla.gomes77@exemplo.test,81.42,Campinas
PD-00007,2026-07-22,Elisa Gomes,nao-informado@aurora.invalid,242.75,Campinas
PD-00008,2025-01-03,Heitor Lacerda,heitor.lacerda77@exemplo.test,313.18,Campinas
PD-00009,2025-01-27,Samuel Iglesias,samuel.iglesias15@exemplo.test,164.01,Osasco
PD-00010,2025-09-29,Heitor Lacerda,nao-informado@aurora.invalid,83.16,Jundiaí
PD-00011,2026-04-05,Nicolas Duarte,nicolas.duarte61@exemplo.test,826.46,Sorocaba
PD-00012,2025-02-14,Tatiane Duarte,tatiane.duarte29@exemplo.test,774.84,Sorocaba
PD-00013,2025-03-04,João Queiroz,joao.queiroz4@exemplo.test,520.51,Santos
PD-00014,2025-03-17,Diego Rezende,diego.rezende57@exemplo.test,112.41,Sorocaba
PD-00015,2026-08-23,Elisa Cardoso,nao-informado@aurora.invalid,591.91,Osasco
PD-00016,2026-03-17,Mariana Jardim,mariana.jardim78@exemplo.test,131.89,São Paulo
PD-00017,2026-02-28,Samuel Gomes,samuel.gomes30@exemplo.test,377.58,Santos
PD-00018,2025-09-19,Nicolas Duarte,nicolas.duarte41@exemplo.test,413.19,Jundiaí
PD-00019,2025-03-29,Paulo Cardoso,nao-informado@aurora.invalid,125.55,São Paulo
PD-00020,2026-07-30,Lucas Esteves,lucas.esteves76@exemplo.test,605.42,Jundiaí
PD-00021,2026-03-10,Diego Pacheco,diego.pacheco86@exemplo.test,768.06,Osasco
PD-00022,2026-06-04,Vinícius Jardim,vinicius.jardim74@exemplo.test,247.19,Jundiaí
PD-00023,2026-07-24,Paulo Hirata,paulo.hirata45@exemplo.test,406.14,Osasco
PD-00024,2026-07-25,Tatiane Hirata,tatiane.hirata72@exemplo.test,56.77,Jundiaí
PD-00025,2025-11-13,Isabela Almeida,nao-informado@aurora.invalid,377.44,São Paulo
PD-00026,2025-03-13,Fábio Esteves,fabio.esteves52@exemplo.test,175.94,Jundiaí
PD-00027,2026-01-21,Ana Cardoso,ana.cardoso28@exemplo.test,459.58,Osasco
PD-00028,2026-08-05,Fábio Moura,fabio.moura42@exemplo.test,640.10,São Paulo
PD-00029,2025-03-25,Elisa Ferraz,elisa.ferraz7@exemplo.test,308.56,Jundiaí
PD-00030,2025-10-07,Nicolas Rezende,nicolas.rezende54@exemplo.test,250.96,Sorocaba
PD-00031,2026-05-14,Diego Moura,diego.moura37@exemplo.test,569.85,Osasco
PD-00032,2025-02-26,Bruno Hirata,bruno.hirata77@exemplo.test,37.26,Osasco
PD-00033,2025-12-02,Gabriela Esteves,gabriela.esteves38@exemplo.test,152.00,Santos
PD-00034,2026-06-30,Nicolas Ferraz,nao-informado@aurora.invalid,750.29,Sorocaba
PD-00035,2025-02-13,Samuel Moura,nao-informado@aurora.invalid,476.02,Santos
PD-00036,2026-02-19,Carla Lacerda,carla.lacerda74@exemplo.test,756.81,Santos
PD-00037,2025-06-25,João Duarte,joao.duarte42@exemplo.test,850.79,Santos
PD-00038,2025-09-07,Lucas Cardoso,lucas.cardoso14@exemplo.test,476.75,Santos
PD-00039,2025-12-14,Renata Cardoso,renata.cardoso40@exemplo.test,256.42,Campinas
PD-00040,2025-12-24,Carla Duarte,carla.duarte25@exemplo.test,389.93,Jundiaí
PD-00041,2025-09-20,Elisa Hirata,nao-informado@aurora.invalid,232.22,Sorocaba
PD-00042,2026-05-21,Elisa Cardoso,nao-informado@aurora.invalid,505.96,Sorocaba
PD-00043,2025-11-27,Tatiane Queiroz,tatiane.queiroz73@exemplo.test,672.40,Campinas
PD-00044,2025-11-07,Olívia Cardoso,olivia.cardoso81@exemplo.test,845.35,Sorocaba
PD-00045,2026-04-18,Bruno Moura,bruno.moura40@exemplo.test,492.04,São Paulo
PD-00046,2025-04-03,Lucas Jardim,nao-informado@aurora.invalid,659.76,Sorocaba
PD-00047,2025-02-12,Mariana Queiroz,mariana.queiroz95@exemplo.test,490.73,Jundiaí
PD-00048,2025-06-04,Gabriela Lacerda,gabriela.lacerda65@exemplo.test,93.57,São Paulo
PD-00049,2025-02-10,Karina Cardoso,karina.cardoso23@exemplo.test,283.90,Santos
PD-00050,2026-02-01,Olívia Ferraz,olivia.ferraz37@exemplo.test,448.99,Osasco
PD-00051,2025-12-09,Vinícius Barbosa,vinicius.barbosa83@exemplo.test,97.42,São Paulo
PD-00052,2025-06-03,Samuel Nogueira,nao-informado@aurora.invalid,371.10,Sorocaba
PD-00053,2026-02-06,Elisa Moura,elisa.moura84@exemplo.test,162.76,Jundiaí
PD-00054,2025-12-03,Carla Jardim,carla.jardim83@exemplo.test,862.16,Jundiaí
PD-00055,2026-06-05,Renata Cardoso,renata.cardoso55@exemplo.test,400.02,Osasco
PD-00056,2026-05-13,João Ferraz,joao.ferraz44@exemplo.test,226.28,Campinas
PD-00057,2025-04-14,Elisa Cardoso,nao-informado@aurora.invalid,549.98,Sorocaba
PD-00058,2025-05-15,Renata Barbosa,renata.barbosa99@exemplo.test,641.48,Campinas
PD-00059,2025-06-19,Fábio Ferraz,fabio.ferraz99@exemplo.test,768.56,São Paulo
PD-00060,2026-03-31,Nicolas Moura,nicolas.moura31@exemplo.test,655.36,Jundiaí
PD-00061,2026-04-26,Olívia Hirata,olivia.hirata40@exemplo.test,885.24,Osasco
PD-00062,2026-01-27,Tatiane Queiroz,tatiane.queiroz37@exemplo.test,544.67,Santos
PD-00063,2025-09-14,Fábio Gomes,fabio.gomes18@exemplo.test,83.82,Santos
